draftPickID,Year,Team ID,Lg,Rd,Pk,Player,College,G
159,1977,Golden State Warriors,NBA,2,38,Ricky Love,University of Alabama at Huntsville,
160,1977,Golden State Warriors,NBA,3,60,Marlon Redmond, redmoma01,University of San Francisco
161,1977,Golden State Warriors,NBA,4,82,Roy Smith,Kentucky State University,
162,1977,Golden State Warriors,NBA,4,87,Leartha Scott,University of Wisconsin-Parkside,
163,1977,Golden State Warriors,NBA,5,104,Ray Epps, eppsra01,Norfolk State University
164,1977,Golden State Warriors,NBA,6,126,Jack Phelan,Saint Francis University,
165,1977,Golden State Warriors,NBA,7,146,Jerry Thurston,Mercer University,
166,1977,Golden State Warriors,NBA,8,165,Ricky Marsh, marshri01,Manhattan College
167,1976,Golden State Warriors,NBA,1,8,Robert Parish, parisro01,Centenary College of Louisiana
168,1976,Golden State Warriors,NBA,1,17,Sonny Parker, parkeso01,Texas A&M University
169,1976,Golden State Warriors,NBA,2,34,Marshall Rogers, rogerma01,University of Texas-Pan American
170,1976,Golden State Warriors,NBA,4,68,Jeff Fosnes,Vanderbilt University,
171,1976,Golden State Warriors,NBA,5,86,Carl Bird,University of California,
172,1976,Golden State Warriors,NBA,6,91,Duane Barnett,Stanford University,
173,1976,Golden State Warriors,NBA,6,104,Gene Cunningham,Norfolk State University,
174,1976,Golden State Warriors,NBA,7,122,Jesse Campbell,Mercyhurst College,
175,1976,Golden State Warriors,NBA,8,140,Stan Boskovich,West Virginia University,
176,1976,Golden State Warriors,NBA,9,157,Howard Smith,University of San Francisco,
177,1976,Golden State Warriors,NBA,10,173,Ken Smith,San Diego State University,
178,1975,Golden State Warriors,NBA,1,14,Joe Bryant, bryanjo01,La Salle University
179,1975,Golden State Warriors,NBA,2,20,Gus Williams, willigu01,University of Southern California
180,1975,Golden State Warriors,NBA,3,40,Otis Johnson,Stetson University,
181,1975,Golden State Warriors,NBA,3,51,Robert Hawkins, hawkiro01,Illinois State University
182,1975,Golden State Warriors,NBA,4,69,Billy Taylor,La Salle University,
183,1975,Golden State Warriors,NBA,5,87,Larry Pounds,University of Washington,
184,1975,Golden State Warriors,NBA,6,105,Tony Styles,University of San Francisco,
185,1975,Golden State Warriors,NBA,7,123,Stan Boyer,University of Wyoming,
186,1975,Golden State Warriors,NBA,8,141,Mike Rozenski,Saint Mary's College of California,
187,1975,Golden State Warriors,NBA,9,157,Scott Trobbe,Stanford University,
188,1975,Golden State Warriors,NBA,10,171,Maurice Harper,Saint Mary's College of California,
189,1974,Golden State Warriors,NBA,1,11,Jamaal Wilkes, wilkeja01,University of California Los Angeles
190,1974,Golden State Warriors,NBA,2,29,Phil Smith, smithph01,University of San Francisco
191,1974,Golden State Warriors,NBA,3,47,Frank Kendrick, kendrfr01,Purdue University
192,1974,Golden State Warriors,NBA,4,65,Willie Biles,University of Tulsa,
193,1974,Golden State Warriors,NBA,5,83,Steve Erickson,Oregon State University,
,,,,,,,,
,,,,,,,,
,2018,Denver Nuggets,NBA,1,14,Michael Porter, portemi01,University of Missouri
,2018,Denver Nuggets,NBA,2,43,Justin Jackson, jacksju02,University of Maryland
,2018,Denver Nuggets,NBA,2,58,Thomas Welsh, welshth01,University of California Los Angeles
,2017,Denver Nuggets,NBA,1,13,Donovan Mitchell, mitchdo01,University of Louisville
,2017,Denver Nuggets,NBA,2,49,Vlatko Cancar, cancavl01,
,2017,Denver Nuggets,NBA,2,51,Monte Morris, morrimo01,Iowa State University
,2016,Denver Nuggets,NBA,1,7,Jamal Murray, murraja01,University of Kentucky
,2016,Denver Nuggets,NBA,1,15,Juan Hernangomez, hernaju01,
,2016,Denver Nuggets,NBA,1,19,Malik Beasley, beaslma01,Florida State University
,2016,Denver Nuggets,NBA,2,53,Petr Cornelie, cornepe01,
,2016,Denver Nuggets,NBA,2,56,Daniel Hamilton, hamilda02,University of Connecticut
,2015,Denver Nuggets,NBA,1,7,Emmanuel Mudiay, mudiaem01,
,2015,Denver Nuggets,NBA,2,57,Nikola Radicevic, radicni01,
,2014,Denver Nuggets,NBA,1,11,Doug McDermott, mcderdo01,Creighton University
,2014,Denver Nuggets,NBA,2,41,Nikola Jokic, jokicni01,
,2014,Denver Nuggets,NBA,2,56,Roy Devyn Marble, marblde01,University of Iowa
,2013,Denver Nuggets,NBA,1,27,Rudy Gobert, goberru01,
,2012,Denver Nuggets,NBA,1,20,Evan Fournier, fournev01,
,2012,Denver Nuggets,NBA,2,38,Quincy Miller, millequ01,Baylor University
,2012,Denver Nuggets,NBA,2,50,Izzet Turkyilmaz, turkyiz01,
,2011,Denver Nuggets,NBA,1,22,Kenneth Faried, farieke01,Morehead State University
,2009,Denver Nuggets,NBA,2,34,Sergio Llull, llullse01,
,2006,Denver Nuggets,NBA,2,49,Leon Powe, powele01,University of California
,2005,Denver Nuggets,NBA,1,20,Julius Hodge, hodgeju01,North Carolina State University
,2005,Denver Nuggets,NBA,1,22,Jarrett Jack, jackja01,Georgia Institute of Technology
,2005,Denver Nuggets,NBA,2,52,Axel Hervelle, herveax01,
,2004,Denver Nuggets,NBA,1,20,Jameer Nelson, nelsoja01,Saint Joseph's University
,2003,Denver Nuggets,NBA,1,3,Carmelo Anthony, anthoca01,Syracuse University
,2003,Denver Nuggets,NBA,2,46,Sani Becirovic, becirsa01,
,2002,Denver Nuggets,NBA,1,5,Nikoloz Tskitishvili, tskitni01,
,2002,Denver Nuggets,NBA,1,25,Frank Williams, willifr02,University of Illinois at Urbana-Champaign
,2002,Denver Nuggets,NBA,2,33,Vincent Yarbrough, yarbrvi01,University of Tennessee
,2001,Denver Nuggets,NBA,2,47,Ousmane Cisse,,
,2000,Denver Nuggets,NBA,1,26,Mamadou N'Diaye, ndiayma02,Auburn University
,2000,Denver Nuggets,NBA,2,53,Dan McClintock, mcclida01,Northern Arizona University
,1999,Denver Nuggets,NBA,1,18,James Posey, poseyja01,Xavier University
,1999,Denver Nuggets,NBA,2,33,Chris Herren, herrech01,California State University Fresno
